cell_id,elevation,corine_landuse,temperature,precipitation,population,soil_class
N15536618,38.65838926665637,312,-51.0,634.0,0.3881269693374634,0.0
N15458882,45.50879599123585,312,-51.0,642.0,0.034373864531517,5.0
N15458884,41.51148348438497,312,-51.0,638.0,0.0426696129143238,8.0
N15458881,42.4548441050004,312,-51.0,638.0,0.0474403090775013,8.0
N15458885,44.3778188277264,312,-51.0,640.0,0.0395505875349044,8.0
N15458886,46.56693244466976,312,-51.0,641.0,0.102110207080841,5.0
N15458883,46.24400812265824,312,-51.0,630.0,0.1094062179327011,8.0
N15458857,41.980916003791656,312,-51.0,642.0,0.1759497374296188,1.0
N15458854,38.76798310571788,231,-51.0,641.0,0.3754544556140899,8.0
N15458858,39.84938874536631,312,-51.0,640.0,0.1292043328285217,1.0
N15458880,47.69885977920221,312,-51.0,648.0,0.1113177686929702,5.0
N15458875,47.655438559395925,312,-51.0,639.0,0.2270523905754089,1.0
N15536661,42.33814628756776,312,-51.0,635.0,0.0669938623905181,5.0
N15536660,42.85947036743164,312,-51.0,638.0,0.0600107051432132,5.0
N15536636,39.50612803867885,312,-51.0,640.0,0.0745035782456398,5.0
N15536633,37.88030476472816,312,-51.0,638.0,0.0992676615715026,8.0
N15536687,48.765805302834025,312,-51.0,618.0,0.3059181571006775,16.0
N15560020,47.35923673668686,312,-51.0,617.0,0.1216126531362533,10.0
N15536686,49.03045047059351,312,-51.0,625.0,0.1465184390544891,9.0
N15560021,47.42121505737305,313,-51.0,615.0,0.1467389017343521,14.0
N15560012,47.77475131287866,312,-51.0,615.0,0.0678676143288612,0.0
N15560015,50.8878288269043,312,-51.0,627.0,0.0570523887872695,8.0
N15560023,49.196537329226125,312,-51.0,609.0,0.0674442872405052,7.0
N15536683,46.358662507971935,211,-51.0,612.0,1.9112460613250728,0.0
N15536680,48.00441002359196,231,-51.0,612.0,2.8670690059661865,1.0
N15536684,46.838769017433634,231,-51.0,612.0,1.808228135108948,1.0
N15536678,49.18009232501594,242,-51.0,621.0,0.2549019157886505,7.0
N15560011,47.17276203389071,313,-51.0,624.0,0.0875724777579307,7.0
N15536688,49.54945972987584,243,-51.0,612.0,0.2022072076797485,0.0
N15536766,51.12293827290438,312,-51.0,612.0,0.1567591726779937,9.0
N15560022,52.535936083112446,312,-51.0,612.0,0.1610486507415771,0.0
N15560024,49.06368029847437,312,-51.0,607.0,0.0883648321032524,8.0
N15536685,48.47966634010782,243,-51.0,615.0,0.3065371215343475,8.0
N15536682,51.1086551121303,312,-51.0,626.0,0.3209468722343445,8.0
N15536763,49.88936965319575,243,-51.0,618.0,0.2760268449783325,1.0
N15536760,50.123116006656566,312,-51.0,624.0,0.2922829687595367,8.0
N15560008,51.51975507152324,324,-51.0,611.0,0.0277248378843069,11.0
N15560005,49.891421259665975,312,-51.0,619.0,0.0346617177128791,10.0
N15560016,51.56225064336037,324,-51.0,607.0,0.0341489166021347,11.0
N15560013,49.615438811633055,312,-51.0,611.0,0.0370427444577217,7.0
N15560031,53.39042663574219,312,-51.0,630.0,0.0273973047733306,8.0
N15560030,52.03618325992506,312,-51.0,621.0,0.0138743985444307,8.0
N15560032,53.26915896668726,312,-51.0,631.0,0.0293291695415973,8.0
N15560034,53.47591446857063,312,-51.0,630.0,0.0247553344815969,5.0
N15560007,53.671307388617066,312,-51.0,647.0,0.0267226733267307,7.0
N15560006,48.36753214622031,313,-51.0,618.0,0.0158953219652175,10.0
N15560017,51.567219403325296,312,-51.0,622.0,0.0323991701006889,9.0
N15560014,52.24334623375717,312,-51.0,636.0,0.0350606553256511,8.0
N15560018,52.71561603156888,312,-51.0,626.0,0.029162785038352,9.0
N15560040,52.72546238801917,324,-51.0,612.0,0.0254721269011497,11.0
N15560043,53.9837068051708,324,-51.0,616.0,0.0221386812627315,11.0
N15536657,43.22779908472178,312,-51.0,628.0,0.3040116429328918,9.0
N15536656,42.9285219932089,312,-51.0,617.0,0.8497111797332764,9.0
N15536654,41.65416834305744,312,-51.0,628.0,0.1269426792860031,9.0
N15536658,43.5524891444615,312,-51.0,628.0,0.2622852623462677,9.0
N15536655,43.3004680555694,312,-51.0,629.0,0.1443087756633758,9.0
N15536651,40.84498666257274,312,-51.0,618.0,0.0756736993789672,9.0
N15536653,40.89489169996612,312,-51.0,624.0,0.0754111483693122,5.0
N15536648,39.88566667206433,312,-51.0,615.0,0.2151850908994674,0.0
N15536733,43.4910374076999,312,-51.0,621.0,0.5828574895858765,4.0
N15536736,43.776749902842,312,-51.0,613.0,0.6736146211624146,1.0
N15536681,47.00710242135184,231,-51.0,612.0,1.858564376831055,7.0
N15536730,41.94129258759168,243,-51.0,626.0,0.889106035232544,7.0
N15536166,28.007388329019356,512,-50.0,620.0,0.0,
N15536088,28.006147267867107,512,-50.0,621.0,0.0,
N15536163,28.008128146735988,512,-50.0,617.0,0.0,
N15536400,28.006751313501475,512,-50.0,622.0,0.0,
N15536321,28.004392117870097,512,-50.0,622.0,0.0,
N15536324,28.0033713360222,512,-50.0,625.0,0.0,
N15536322,28.00496510096959,512,-50.0,622.0,0.0,
N15536085,28.008364930444834,512,-50.0,617.0,0.0,
N15536082,28.00909159134845,512,-50.0,617.0,0.0,
